,query,sentiment query,sentiment page 1,sentiment page 2,sentiment page 3,sentiment page 4,sentiment page 5,sentiment page 6,sentiment page 7,sentiment page 8,sentiment page 9,sentiment page 10
1,how many pokemon are there,0,0.067633333,0.06884,0.273775,0.06452,0.11456,0.00012,0.171025,0.10815,0.04399,
2,how to enable cookies,0,0.198025,0.153438889,0.14271,0.14391,0.24229,0.187505,0.17687,0.30059,0.188505,0.230045
3,what is a blogger,0,0.139735,0.206645,0.25074,0.196625,0.198165,0.197075,0.17257,0.144666667,0.203761111,0.140685
4,why should i hire you,0,0.29881875,0.368845,0.321865,0.21652,0.15502,0.16289,0.325105,0.144495,0.29187,0.23275
5,what is your name,0,0.170108333,0.267625,0.07179,0.15404,0.100375,0.147365,0.13594,0.09534,0.165465,0.08764
6,how old am i,0,0.075261111,0.152985,0.065325,0.054665,0.08426,0.13963,0.077115,0.03185,0.131445,0.09362
7,how to download movie,0,0.4412625,0.251145,0.28794,0.38012,0.35844,0.4425,0.38941,0.292175,0.276505,0.23386
8,how to become rich,0.5574,0.6348875,0.429475,0.533755,0.50066,0.60771,0.564105,0.564495,0.534075,0.53915,0.53578
9,how to backup iphone,0,0.14375,0.1783,0.06494,0.202585,0.183845,0.117205,0.192995,0.14057,0.191585,0.097575
10,what is a cv,0,0,0.037416667,0.051635,0.030044444,0.07313,0.100055,0.118765,0.146525,0.12483,0.123985
11,how to cook corn on the cob,0,0.180972222,0.02578,0.131925,0.06173,0.2336,0.07283,0.21473,0.228435,0.22756,0.245835
12,what does bmw stand for,0,0.052344444,0.01073,0.063675,-0.036245,0.12748,0.04003,0.079565,0.017,0.098425,0.052385
13,when the game stands tall,0,0.09241875,0.196944444,0.20746,0.154175,0.313715,0.13677,0.28663,0.183085,0.26451,0.18543
14,how to train a puppy,0,0.1528625,0.285565,0.17068,0.224045,0.187125,0.33371,0.25478,0.185235,0.191145,0.07426
15,how to edit pdf file,0,0.3103375,0.257135,0.190885,0.29572,0.18966,0.290265,0.12553,0.184515,0.234725,0.172665
16,how to cut your own hair,-0.2732,0.091188889,0.112115,0.009405,-0.063875,-0.05384,-0.08774,-0.155875,-0.059475,-0.099725,-0.2171
17,who is the president of india,0,0.087414286,0.09556,0.1201,0.04906,0.116685,0.123975,0.08426,0.14766,0.016585,0.00367
18,how to ask a girl out,0,0.46009375,0.481255,0.168255,0.23192,0.434295,0.456455,0.374788889,0.30749,0.191725,0.261365
19,how to hack wifi passwords,0,0.19369375,0.02273,0.1802,-0.004195,0.13607,0.065705,0.14588,0.12401,0.232055,0.100885
20,how to edit a pdf,0,0.283835714,0.23154,0.100125,0.24118,0.226265,0.230875,0.169865,0.150665,0.357635,0.164285
21,what movie should i watch,0,0.30215,0.265735,0.26547,0.255655,0.08475,0.249195,0.224295,0.12866,0.199755,-0.04727
22,how many megabytes in a gigabyte,0,0.037625,0.045975,-0.004895,0.03682,0.074475,0.06343,0.096555,0.08291,0.013335,0.036755
23,how many grams in a pound,0,0.03786,-0.013565,0.08807,0.0991,-0.0044,0.08939,0.089455,0.04884,0.021075,0.053455
24,how to lose belly fat,-0.4019,0.00013125,-0.10134,-0.03929,-0.04007,-0.17993,0.02984,-0.036545,-0.068515,0.10457,-0.283615
25,how to start a conversation with a girl,0,0.267644444,0.2719,0.23429,0.081935,0.28378,0.231425,0.3236,0.230835,0.094685,0.205775
26,how to get bigger boobs,0,0.24515,0.330765,0.20406,0.071245,0.244945,0.238425,0.1613,0.06756,0.1631,0.21832
27,how many calories in a banana,0,0.138138889,0.18097,0.144005,0.270855,0.242175,0.038195,0.040975,0.126665,0.11376,0.105
28,how old is kim kardashian,0,0.199111111,0.068966667,0.19905,0.20577,0.157955,0.112245,0.125325,0.07943,0.11877,0.16269
29,how many pounds in a kilogram,0,0.053005,0.10647,-0.00398,0.068525,0.02099,-0.00667,0.049515,0.13385,0.123555,0.20567
30,how long are dog pregnant,0,0.05379,-0.00737,0.01001,0.083325,0.08237,0.07043,0.12461,0.177465,0.107215,-0.072925
31,how to make hard boiled eggs,-0.1027,0.194944444,0.30089,0.273755,0.341255,0.29122,0.222945,0.388645,0.46311,0.327595,0.382175
32,how many miles in a kilometer,0,0.069595,0.05009,0.07527,0.07292,0.02338,0.02708,-0.04019,0.10714,0.03455,0.163845
33,what are prime numbers,0,0.224045,0.311655,0.08597,0.16251,0.191305,0.29822,0.110575,0.143975,0.220605,0.1723
34,what is a blogger,0,0.16723,0.103045,0.254745,0.194965,0.159685,0.250822222,0.16694,0.20718,0.223827778,0.114665
35,how to delete a facebook account,0,0.08005625,0.09696,0.12877,0.037795,0.03927,0.12009,0.187305,0.046465,0.117875,0.14331
36,how to pass a drug test,0,0.206715,0.02068,0.0162,0.038725,0.18394,0.08516,-0.01996,0.107525,0.081265,-0.20527
37,how to draw anime,0,0.106092857,0.09935,0.276055,0.156475,0.35224,0.27784,0.301465,0.304635,0.47057,
38,how to draw a nose,0,0.055742857,0.122035,0.108125,0.159505,0.06286,0.18737,-0.01252,0.19096,0.086505,0.168135
39,how to get rid of heartburn,0,0.190288889,0.34265,-0.007335,0.33576,0.35338,0.113895,0.18013,0.070745,0.116415,0.01109
40,how to set a table,0,0.070835714,0.146066667,0.21295,0.12747,0.282075,0.2603,0.22833,0.18587,0.16991,0.1574
